server_name,tool.name,tool.description
Bing_CN_MCP,bing_search,使用必应搜索指定的关键词，并返回搜索结果列表，包括标题、链接、摘要和ID
Bing_CN_MCP,fetch_webpage,根据提供的ID获取对应网页的内容
MCP Yahoo Finance,get_current_stock_price,Get the current stock price based on stock symbol.
MCP Yahoo Finance,get_stock_price_by_date,Get the stock price for a given stock symbol on a specific date.
MCP Yahoo Finance,get_stock_price_date_range,Get the stock prices for a given date range for a given stock symbol.
MCP Yahoo Finance,get_historical_stock_prices,Get historical stock prices for a given stock symbol.
MCP Yahoo Finance,get_dividends,Get dividends for a given stock symbol.
MCP Yahoo Finance,get_income_statement,Get income statement for a given stock symbol.
MCP Yahoo Finance,get_cashflow,Get cashflow for a given stock symbol.
MCP Yahoo Finance,get_earning_dates,Get earning dates.
MCP Yahoo Finance,get_news,Get news for a given stock symbol.
MCP Yahoo Finance,get_recommendations,Get analyst recommendations for a given symbol.
NPM Sentinel MCP,npmVersions,Get all available versions of an NPM package
NPM Sentinel MCP,npmLatest,Get the latest version and changelog of an NPM package
NPM Sentinel MCP,npmDeps,Analyze dependencies and devDependencies of an NPM package
NPM Sentinel MCP,npmTypes,Check TypeScript types availability and version for a package
NPM Sentinel MCP,npmSize,Get package size information including dependencies and bundle size
NPM Sentinel MCP,npmVulnerabilities,Check for known vulnerabilities in packages
NPM Sentinel MCP,npmTrends,Get download trends and popularity metrics for packages
NPM Sentinel MCP,npmCompare,Compare multiple NPM packages based on various metrics
NPM Sentinel MCP,npmMaintainers,Get maintainers information for NPM packages
NPM Sentinel MCP,npmScore,"Get consolidated package score based on quality, maintenance, and popularity metrics"
NPM Sentinel MCP,npmPackageReadme,Get the README content for NPM packages
NPM Sentinel MCP,npmSearch,Search for NPM packages with optional limit
NPM Sentinel MCP,npmLicenseCompatibility,Check license compatibility between multiple packages
NPM Sentinel MCP,npmRepoStats,Get repository statistics for NPM packages
NPM Sentinel MCP,npmDeprecated,Check if packages are deprecated
NPM Sentinel MCP,npmChangelogAnalysis,Analyze changelog and release history of packages
NPM Sentinel MCP,npmAlternatives,Find alternative packages with similar functionality
NPM Sentinel MCP,npmQuality,Analyze package quality metrics
NPM Sentinel MCP,npmMaintenance,Analyze package maintenance metrics
Hugeicons MCP Server,list_icons,Get a list of all available Hugeicons icons
Hugeicons MCP Server,search_icons,"Search for icons by name or tags. Use commas to search for multiple icons (e.g. 'home, notification, settings')"
Hugeicons MCP Server,get_platform_usage,Get platform-specific usage instructions for Hugeicons
