mcp_server_name,tool_name,description_label,description_quality_score,description_reason,description_improvement_needed,purpose_score,usage_guideline_score,limitation_score,parameter_explanation_score,examples_balance_score,length_completeness_score
blender,clear_scene_and_polyhaven_materials,Good,75,"The tool description is clear and detailed, but lacks parameter explanation.",parameter_explanation,5,5,4,1,4,4
blender,create_object,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
blender,delete_object,Good,93,"The description is comprehensive, clearly outlining the purpose, usage guidelines, and parameter details.",limitation,5,5,4,5,5,5
blender,download_polyhaven_asset,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
blender,execute_blender_code,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
blender,get_object_info,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
blender,get_polyhaven_categories,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
blender,get_polyhaven_status,Good,83,"The description is comprehensive and clear, but lacks parameter explanation.",parameter_explanation,5,5,5,1,5,5
blender,get_scene_info,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
blender,modify_object,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
blender,search_polyhaven_assets,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
blender,set_material,Good,87,"The description is comprehensive and well-structured, covering all necessary aspects with minor limitations in clarity.",limitation; parameter_explanation; examples_balance,5,5,4,4,4,5
blender,set_texture,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
calculator,calculate,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
date,get_current_datetime,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
date,get_current_datetime_utc,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
date,get_date_in_timezone,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
date,get_timestamp,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
date,get_today_date,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
echo,echo_tool,Good,83,"The description is clear and comprehensive, but lacks parameter explanation.",parameter_explanation,5,5,4,1,5,5
fetch,fetch,Good,90,"The tool description is comprehensive and well-structured, covering all necessary aspects with minor limitations.",limitation; parameter_explanation,5,5,4,4,5,5
filesystem,create_directory,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
filesystem,directory_tree,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
filesystem,edit_file,Good,100,"The tool description is comprehensive, clear, and well-structured, covering all necessary aspects.",,5,5,5,5,5,5
